GKA,Papua New Guinea,-6.081689,145.391881
MAG,Papua New Guinea,-5.207083,145.7887
HGU,Papua New Guinea,-5.826789,144.295861
LAE,Papua New Guinea,-6.569828,146.726242
POM,Papua New Guinea,-9.443383,147.22005
WWK,Papua New Guinea,-3.583828,143.669186
UAK,Greenland,61.160517,-45.425978
GOH,Greenland,64.190922,-51.678064
SFJ,Greenland,67.016969,-50.689325
THU,Greenland,76.531203,-68.703161
AEY,Iceland,65.659994,-18.072703
EGS,Iceland,65.283333,-14.401389
HFN,Iceland,64.295556,-15.227222
HZK,Iceland,65.952328,-17.425978
IFJ,Iceland,66.058056,-23.135278
KEF,Iceland,63.985,-22.605556
PFJ,Iceland,65.555833,-23.965
RKV,Iceland,64.13,-21.940556
SIJ,Iceland,66.133333,-18.916667
VEY,Iceland,63.424303,-20.278875
YAM,Canada,46.485001,-84.509445
YAV,Canada,50.056389,-97.0325
YAW,Canada,44.639721,-63.499444
YAY,Canada,51.391944,-56.083056
YAZ,Canada,49.082222,-125.7725
YBB,Canada,68.534444,-89.808056
YBC,Canada,49.1325,-68.204444
YBG,Canada,48.330555,-70.996391
YBK,Canada,64.298889,-96.077778
YBL,Canada,49.950832,-125.270833
YBR,Canada,49.91,-99.951944
YCB,Canada,69.108055,-105.138333
YCD,Canada,49.052333,-123.870167
YCG,Canada,49.296389,-117.6325
YCH,Canada,47.007778,-65.449167
YCL,Canada,47.990833,-66.330278
YCO,Canada,67.816667,-115.143889
YCT,Canada,52.075001,-111.445278
YCW,Canada,49.152779,-121.93889
YCY,Canada,70.486111,-68.516667
YZS,Canada,64.193333,-83.359444
YDA,Canada,64.043056,-139.127778
YDB,Canada,61.371111,-139.040556
YDC,Canada,49.468056,-120.511389
YDF,Canada,49.210833,-57.391388
YDL,Canada,58.422222,-130.032222
YDN,Canada,51.100834,-100.0525
YDQ,Canada,55.742333,-120.183
YEG,Canada,53.309723,-113.579722
YEK,Canada,61.094166,-94.070833
YEN,Canada,49.210278,-102.965833
YET,Canada,53.578888,-116.465
YEU,Canada,79.994722,-85.814167
YEV,Canada,68.304167,-133.482778
YFB,Canada,63.75639,-68.555832
YFC,Canada,45.868889,-66.537222
YFO,Canada,54.678055,-101.681667
YFR,Canada,61.180832,-113.689722
YFS,Canada,61.760153,-121.236525
YGK,Canada,44.225277,-76.596944
YGL,Canada,53.625278,-77.704167
YGP,Canada,48.775278,-64.478611
YGQ,Canada,49.778332,-86.939445
YGR,Canada,47.424721,-61.778056
YHB,Canada,52.816666,-102.31139
YHD,Canada,49.831667,-92.744167
YHI,Canada,70.762778,-117.806111
YHK,Canada,68.635556,-95.849722
YHM,Canada,43.173611,-79.935
YHU,Canada,45.5175,-73.416944
YHY,Canada,60.839722,-115.782778
YHZ,Canada,44.880833,-63.50861
YIB,Canada,48.773888,-91.638611
YIO,Canada,72.683334,-77.966667
YJN,Canada,45.294445,-73.281111
YJT,Canada,48.544167,-58.549999
YKA,Canada,50.702222,-120.444444
YKF,Canada,43.460833,-80.378611
YKL,Canada,54.805278,-66.805278
YKY,Canada,51.5175,-109.180833
YKZ,Canada,43.862221,-79.37
YLD,Canada,47.82,-83.346667
YLJ,Canada,54.125278,-108.522778
YLL,Canada,53.309166,-110.0725
YLT,Canada,82.517778,-62.280556
YLW,Canada,49.956112,-119.377778
YMA,Canada,63.616389,-135.868333
YMJ,Canada,50.330278,-105.559167
YMM,Canada,56.653333,-111.221944
YMO,Canada,51.291111,-80.607778
YMW,Canada,46.272778,-75.990556
YMX,Canada,45.681944,-74.005278
YNA,Canada,50.19,-61.789167
YND,Canada,45.521694,-75.563589
YNM,Canada,49.761667,-77.802778
YOC,Canada,67.570556,-139.839167
YOD,Canada,54.404999,-110.279444
YOJ,Canada,58.621389,-117.164722
YOW,Canada,45.3225,-75.669167
YPA,Canada,53.214167,-105.672778
YPE,Canada,56.226944,-117.447222
YPG,Canada,49.903056,-98.273889
YPL,Canada,51.446388,-90.214167
YPN,Canada,49.836389,-64.288611
YPQ,Canada,44.23,-78.363333
YPR,Canada,54.28611,-130.444722
YPY,Canada,58.767223,-111.117222
YQA,Canada,44.974722,-79.303333
YQB,Canada,46.791111,-71.393333
YQF,Canada,52.182222,-113.894444
YQG,Canada,42.275556,-82.955556
YQH,Canada,60.116389,-128.8225
YQK,Canada,49.788334,-94.363056
YQL,Canada,49.630278,-112.799722
YQM,Canada,46.112221,-64.678611
YQQ,Canada,49.710833,-124.886667
YQR,Canada,50.431944,-104.665833
YQT,Canada,48.371944,-89.323889
YQU,Canada,55.179722,-118.885
YQV,Canada,51.264721,-102.461667
YQW,Canada,52.769167,-108.24361
YQX,Canada,48.936944,-54.568056
YQY,Canada,46.161388,-60.047779
YQZ,Canada,53.026112,-122.510278
YRB,Canada,74.716944,-94.969444
YRI,Canada,47.764444,-69.584722
YRJ,Canada,48.52,-72.265556
YRM,Canada,52.429722,-114.904167
YRT,Canada,62.81139,-92.115833
YSB,Canada,46.625,-80.798889
YSC,Canada,45.438611,-71.691389
YSJ,Canada,45.316111,-65.890278
YSM,Canada,60.020278,-111.961944
YSR,Canada,72.982222,-84.613611
YSU,Canada,46.440556,-63.833611
YSY,Canada,71.993889,-125.2425
YTE,Canada,64.23,-76.526667
YTH,Canada,55.801111,-97.864166
YTR,Canada,44.118889,-77.528056
YTS,Canada,48.569721,-81.376667
YTZ,Canada,43.627499,-79.396167
YUB,Canada,69.433334,-133.026389
YUL,Canada,45.470556,-73.740833
YUT,Canada,66.521389,-86.224722
YUX,Canada,68.776111,-81.243611
YUY,Canada,48.206111,-78.835556
YVC,Canada,55.15139,-105.261944
YVG,Canada,53.355833,-110.82389
YVM,Canada,67.545833,-64.031389
YVO,Canada,48.053333,-77.782778
YVP,Canada,58.096111,-68.426944
YVQ,Canada,65.281617,-126.798219
YVR,Canada,49.193889,-123.184444
YVT,Canada,55.841944,-108.4175
YVV,Canada,44.745834,-81.107222
YWA,Canada,45.952221,-77.319168
YWG,Canada,49.910036,-97.239886
YWK,Canada,52.921944,-66.864444
YWL,Canada,52.183056,-122.054167
YWY,Canada,63.209444,-123.436667
YXC,Canada,49.612222,-115.781944
YXD,Canada,53.5725,-113.520556
YXE,Canada,52.170834,-106.699722
YXH,Canada,50.01889,-110.720833
YXJ,Canada,56.238056,-120.740278
YXL,Canada,50.113889,-91.905278
YXP,Canada,66.145,-65.713611
YXR,Canada,47.695,-79.848889
YXS,Canada,53.889444,-122.678889
YXT,Canada,54.468508,-128.576219
YXU,Canada,43.033056,-81.151111
YXX,Canada,49.025278,-122.360556
YXY,Canada,60.709553,-135.067269
YYB,Canada,46.363611,-79.422778
YYC,Canada,51.113888,-114.020278
YYD,Canada,54.824722,-127.182778
YYE,Canada,58.836389,-122.596944
YYF,Canada,49.463056,-119.602222
YYG,Canada,46.290001,-63.121111
YYH,Canada,69.546667,-93.576667
YYJ,Canada,48.646944,-123.425833
YYL,Canada,56.863888,-101.07611
YYN,Canada,50.291944,-107.690556
YYQ,Canada,58.739167,-94.065
YYR,Canada,53.319168,-60.425833
YYT,Canada,47.61861,-52.751945
YYU,Canada,49.413889,-82.4675
YYW,Canada,50.290279,-88.909721
YYY,Canada,48.608612,-68.208056
YYZ,Canada,43.677223,-79.630556
YZD,Canada,43.7425,-79.465556
YZE,Canada,45.885277,-82.567778
YZF,Canada,62.462778,-114.440278
YZH,Canada,55.293056,-114.777222
YZP,Canada,53.254333,-131.813833
YZR,Canada,42.999444,-82.308889
YZT,Canada,50.680556,-127.366667
YZU,Canada,54.14389,-115.786667
YZV,Canada,50.223333,-66.265556
YZW,Canada,60.172779,-132.742778
YZX,Canada,44.984444,-64.916944
ZFA,Canada,62.2075,-133.375833
ZFM,Canada,67.4075,-134.860556
